2026-04-16T11:53:10.406515,INFO,auth_login_log,Login realizado,fabio,fabio,admin,SUCCESS
2026-04-16T11:55:47.699500,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T02:42:23.106781,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T02:58:05.194469,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T13:17:43.033169,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T13:30:39.125888,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T13:37:03.248051,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T13:47:23.711403,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T13:54:23.991469,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T13:56:44.209094,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T13:57:18.363632,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T14:09:15.186347,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T14:11:56.649867,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T14:19:40.936505,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T14:24:30.616689,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T14:24:50.742271,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
2026-04-17T14:43:14.878616,INFO,auth_login_log,Login realizado,rafael,rafael,admin,SUCCESS
